number,values_0,values_1,values_2,datetime_start,datetime_complete,duration,params_colsample,params_depth,params_leaves,params_lr,params_min_child,params_n,params_reg_alpha,params_reg_lambda,params_subsample,system_attrs_NSGAIISampler:generation,state
19,23.93796744792124,0.3176592795224387,-7.009979464128147,2026-04-18 15:30:27.754848,2026-04-18 15:30:29.748267,0 days 00:00:01.993419,0.7546941385202149,7,104,0.0010866673777466193,25,213,2.6950690621944617,1.7285760734977495e-07,0.8763750952409863,0,COMPLETE
20,6.678722223993688,0.9216749015766321,-38.08660566775389,2026-04-18 15:30:29.748543,2026-04-18 15:30:31.641442,0 days 00:00:01.892899,0.9268888800804863,3,134,0.005523209354840282,33,563,0.0009926755025313784,0.0005845951462609696,0.8639936184136716,0,COMPLETE
21,9.897501069125719,0.8649408502349951,-32.27093288151488,2026-04-18 15:30:31.641722,2026-04-18 15:30:32.788164,0 days 00:00:01.146442,0.7396838298450643,3,137,0.0033596393259423033,67,549,0.03416654859330391,1.1857478328321251,0.7356119164194803,0,COMPLETE
22,5.2761031411023,0.9414954239528038,-41.41384258650646,2026-04-18 15:30:32.788537,2026-04-18 15:30:34.914752,0 days 00:00:02.126215,0.842571623863836,9,31,0.08518850836015658,24,421,1.2099668294649193e-08,8.189245406796203e-08,0.9594216754108317,0,COMPLETE
23,5.741529459612333,0.9337119812273962,-40.62594101671773,2026-04-18 15:30:34.915020,2026-04-18 15:30:35.271213,0 days 00:00:00.356193,0.689707723784224,3,91,0.027786919322282833,72,180,0.025681062756497588,1.365343060974712e-06,0.8607845038010402,0,COMPLETE
24,8.205061997564853,0.8979074332499117,-34.84255596779728,2026-04-18 15:30:35.271515,2026-04-18 15:30:36.501894,0 days 00:00:01.230379,0.637469907131237,8,131,0.005106219018733596,69,425,2.0391173859019014e-05,2.4368079851853013e-06,0.8273234413341887,0,COMPLETE
25,14.253619631855463,0.7500242835253352,-23.892127033871958,2026-04-18 15:30:36.502156,2026-04-18 15:30:37.513457,0 days 00:00:01.011301,0.8010548372420768,10,136,0.0033958127159684805,67,296,0.0015564492396416625,0.00027080659985063754,0.9179245214166594,0,COMPLETE
26,18.138970513896126,0.6047693760888211,-17.229114903345366,2026-04-18 15:30:37.513740,2026-04-18 15:30:38.312164,0 days 00:00:00.798424,0.9761834337411657,8,23,0.00265990765382994,68,240,3.8490822633646453,1.7130873652275964,0.6708442717628196,0,COMPLETE
27,6.403769912420803,0.9216457899238124,-38.92304211473432,2026-04-18 15:30:38.312456,2026-04-18 15:30:39.313680,0 days 00:00:01.001224,0.941203782186944,3,76,0.006389974309230983,97,565,4.467247645704661e-06,2.92334153716481e-05,0.9854479908357011,0,COMPLETE
28,5.375064583633747,0.9404234417915935,-41.40382749305793,2026-04-18 15:30:39.313964,2026-04-18 15:30:39.810760,0 days 00:00:00.496796,0.828024468035746,5,92,0.07114609552790999,95,184,7.491839140486663e-08,0.0034281912357116743,0.8784119186699892,0,COMPLETE
